119_1, 5, 12, 21, 23, 25, 36, 39, 42, 53, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 113, 120, 128
85_1, 5, 12, 21, 23, 25, 36, 39, 42, 53, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 108, 120, 128
65_1, 5, 12, 21, 23, 25, 36, 39, 42, 50, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 113, 120, 128
142_1, 5, 12, 21, 23, 25, 36, 39, 42, 50, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 108, 120, 128
118_1, 5, 12, 21, 23, 25, 36, 39, 42, 44, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 113, 120, 128
109_1, 5, 12, 21, 23, 25, 36, 39, 42, 44, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 108, 120, 128
110_1, 5, 12, 21, 23, 26, 36, 39, 42, 53, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 113, 120, 128
76_1, 5, 12, 21, 23, 26, 36, 39, 42, 53, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 108, 120, 128
113_1, 5, 12, 21, 23, 26, 36, 39, 42, 50, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 113, 120, 128
105_1, 5, 12, 21, 23, 26, 36, 39, 42, 50, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 108, 120, 128
90_1, 5, 12, 21, 23, 26, 36, 39, 42, 44, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 113, 120, 128
102_1, 5, 12, 21, 23, 26, 36, 39, 42, 44, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 108, 120, 128
115_1, 5, 12, 22, 23, 25, 36, 39, 42, 53, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 113, 120, 128
112_1, 5, 12, 22, 23, 25, 36, 39, 42, 53, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 108, 120, 128
89_1, 5, 12, 22, 23, 25, 36, 39, 42, 50, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 113, 120, 128
75_1, 5, 12, 22, 23, 25, 36, 39, 42, 50, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 108, 120, 128
108_1, 5, 12, 22, 23, 25, 36, 39, 42, 44, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 113, 120, 128
88_1, 5, 12, 22, 23, 25, 36, 39, 42, 44, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 108, 120, 128
80_1, 5, 12, 22, 23, 26, 36, 39, 42, 53, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 113, 120, 128
105_1, 5, 12, 22, 23, 26, 36, 39, 42, 53, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 108, 120, 128
118_1, 5, 12, 22, 23, 26, 36, 39, 42, 50, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 113, 120, 128
85_1, 5, 12, 22, 23, 26, 36, 39, 42, 50, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 108, 120, 128
71_1, 5, 12, 22, 23, 26, 36, 39, 42, 44, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 113, 120, 128
108_1, 5, 12, 22, 23, 26, 36, 39, 42, 44, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 108, 120, 128
116_1, 5, 9, 21, 23, 25, 36, 39, 42, 53, 56, 57, 67, 71, 79, 88, 90, 94, 97, 104, 113, 120, 128
